X;Y
82.97;133.92
82.97;134.12
83.03;136.08
83.03;136.29
83.19;138.25
83.21;138.46
83.46;140.40
83.49;140.63
83.84;142.55
83.88;142.78
84.32;144.68
84.37;144.91
84.91;146.79
84.98;147.02
85.60;148.87
85.68;149.10
86.40;150.92
86.49;151.15
87.29;152.93
87.40;153.16
88.29;154.90
88.41;155.13
89.38;156.83
89.51;157.05
90.57;158.69
90.72;158.91
91.86;160.51
92.01;160.72
93.23;162.26
93.40;162.47
94.69;163.94
94.87;164.15
96.23;165.56
96.43;165.76
97.86;167.10
98.07;167.29
99.56;168.56
99.78;168.75
101.33;169.94
101.57;170.12
103.18;171.23
103.42;171.40
105.08;172.43
105.34;172.59
107.05;173.55
107.32;173.70
109.08;174.56
109.36;174.70
111.16;175.48
111.45;175.60
113.28;176.29
113.58;176.40
115.45;177.00
115.75;177.10
117.65;177.61
117.97;177.69
119.88;178.10
120.21;178.17
122.14;178.49
122.47;178.55
124.42;178.77
124.76;178.81
126.72;178.93
127.06;178.95
129.02;178.98
129.37;178.99
131.33;178.92
131.69;178.91
133.64;178.75
134.00;178.72
135.94;178.46
136.30;178.41
138.23;178.06
138.59;177.99
140.50;177.54
140.86;177.46
142.75;176.92
143.11;176.81
144.96;176.18
145.33;176.05
147.15;175.33
147.51;175.19
149.29;174.38
149.65;174.21
151.39;173.32
151.74;173.13
153.44;172.15
153.78;171.95
155.43;170.88
155.77;170.66
157.36;169.52
157.69;169.28
159.22;168.06
159.55;167.80
161.02;166.50
161.33;166.23
162.74;164.86
163.04;164.57
164.37;163.13
164.67;162.82
165.93;161.32
166.21;160.99
167.40;159.44
167.66;159.09
168.77;157.47
169.02;157.11
170.05;155.44
170.29;155.06
171.24;153.35
171.46;152.95
172.31;151.19
172.52;150.79
173.29;148.99
173.47;148.56
174.16;146.73
174.32;146.29
174.91;144.43
175.06;143.98
175.56;142.09
175.67;141.63
176.08;139.71
176.18;139.24
176.50;137.31
176.57;136.83
176.79;134.89
176.85;134.40
176.97;132.45
177.00;131.96
177.02;130.00
177.03;129.50
176.96;127.55
176.94;127.05
176.77;125.10
176.73;124.59
176.46;122.65
176.40;122.15
176.04;120.22
175.94;119.71
175.49;117.81
175.37;117.30
174.83;115.42
174.68;114.92
174.05;113.07
173.87;112.57
173.15;110.75
172.95;110.26
172.13;108.48
171.91;107.99
171.01;106.25
170.76;105.77
169.77;104.08
169.49;103.61
168.43;101.96
168.13;101.50
166.98;99.92
166.66;99.46
165.43;97.94
165.08;97.50
163.78;96.03
163.41;95.61
162.04;94.21
161.64;93.80
160.21;92.47
159.79;92.08
158.29;90.82
157.85;90.45
156.29;89.27
155.82;88.91
154.21;87.81
153.72;87.48
152.06;86.45
151.55;86.14
149.84;85.20
149.31;84.91
147.55;84.05
147.01;83.79
145.21;83.02
144.66;82.78
142.82;82.10
142.25;81.89
140.38;81.30
139.80;81.12
137.90;80.62
137.31;80.46
135.39;80.06
134.78;79.93
132.85;79.63
132.23;79.53
130.28;79.31
129.65;79.24
127.70;79.13
127.06;79.09
125.10;79.07
124.46;79.06
122.51;79.13
121.86;79.16
119.91;79.33
119.26;79.39
117.32;79.66
116.68;79.74
114.75;80.11
114.11;80.23
112.20;80.68
111.55;80.84
109.68;81.39
109.04;81.57
107.18;82.21
106.55;82.44
104.73;83.17
104.11;83.42
102.33;84.24
101.71;84.52
99.97;85.43
99.36;85.74
97.67;86.73
97.08;87.08
95.44;88.15
94.86;88.54
93.27;89.68
92.71;90.09
91.18;91.32
90.63;91.76
89.17;93.06
88.64;93.54
87.24;94.91
86.73;95.41
85.40;96.84
84.92;97.37
83.66;98.87
83.20;99.43
82.02;100.99
81.58;101.57
80.47;103.18
80.06;103.79
79.04;105.46
78.65;106.08
77.72;107.80
77.36;108.45
76.51;110.21
76.18;110.88
75.42;112.68
75.12;113.37
74.45;115.21
74.19;115.92
73.60;117.79
73.37;118.51
72.88;120.40
72.69;121.14
72.29;123.06
72.13;123.81
71.83;125.74
71.71;126.51
71.50;128.45
71.42;129.22
71.30;131.18
71.26;131.96
71.24;133.92
71.23;134.70
71.31;136.66
71.34;137.45
71.52;139.40
71.59;140.19
71.86;142.13
71.97;142.92
72.33;144.84
72.48;145.63
72.94;147.53
73.13;148.32
73.68;150.20
73.91;150.98
74.56;152.82
74.83;153.60
75.56;155.41
75.87;156.17
76.69;157.95
77.04;158.70
77.94;160.43
78.33;161.17
79.32;162.86
79.74;163.58
80.82;165.21
81.28;165.91
82.43;167.49
82.93;168.18
84.16;169.70
84.69;170.36
86.00;171.82
86.56;172.46
87.94;173.85
88.54;174.46
89.98;175.79
90.61;176.37
92.12;177.63
92.78;178.18
94.34;179.36
95.04;179.89
96.66;180.99
97.38;181.48
99.05;182.50
99.80;182.95
101.52;183.89
102.30;184.32
104.06;185.17
104.86;185.55
106.67;186.32
107.49;186.67
109.33;187.34
110.17;187.65
112.04;188.23
112.90;188.50
114.80;188.99
115.67;189.21
117.59;189.61
118.48;189.80
120.42;190.10
121.32;190.24
123.27;190.44
124.19;190.54
126.14;190.65
127.06;190.70
129.02;190.72
129.95;190.72
131.91;190.64
132.84;190.60
134.79;190.42
135.72;190.34
137.66;190.07
138.60;189.94
140.52;189.57
141.45;189.39
143.35;188.93
144.28;188.70
146.15;188.14
147.07;187.87
148.92;187.23
149.82;186.91
151.64;186.17
152.53;185.81
154.31;184.98
155.19;184.57
156.92;183.66
157.78;183.21
159.47;182.22
160.31;181.72
161.95;180.64
162.77;180.10
164.35;178.94
165.14;178.36
166.67;177.13
167.44;176.51
168.90;175.20
169.64;174.53
171.03;173.16
171.74;172.46
173.07;171.02
173.75;170.27
175.00;168.77
175.65;167.99
176.82;166.43
177.43;165.61
178.53;163.99
179.10;163.15
180.12;161.48
180.65;160.60
181.58;158.88
182.08;157.98
182.92;156.21
183.37;155.28
184.13;153.48
184.53;152.52
185.20;150.68
185.56;149.70
186.14;147.83
186.45;146.83
186.94;144.94
187.20;143.92
187.59;142.00
187.80;140.97
188.10;139.03
188.26;137.99
188.47;136.04
188.58;134.98
188.68;133.03
188.74;131.96
188.76;130.00
188.76;128.93
188.68;126.97
188.63;125.89
188.45;123.94
188.35;122.87
188.07;120.93
187.92;119.85
187.55;117.93
187.34;116.86
186.88;114.96
186.62;113.89
186.06;112.02
185.74;110.96
185.10;109.11
184.73;108.07
183.99;106.26
183.57;105.23
182.74;103.46
182.27;102.45
181.36;100.72
180.83;99.73
179.84;98.04
179.26;97.08
178.19;95.44
177.56;94.50
176.40;92.93
175.74;92.01
174.50;90.49
173.79;89.61
172.48;88.15
171.72;87.30
170.34;85.91
169.53;85.10
168.09;83.78
167.24;83.00
165.73;81.75
164.85;81.01
163.28;79.84
162.35;79.14
160.73;78.05
159.77;77.40
158.09;76.39
157.09;75.78
155.37;74.85
154.34;74.29
152.57;73.44
151.51;72.94
149.70;72.18
148.62;71.72
146.78;71.05
145.66;70.65
143.79;70.07
142.65;69.72
140.76;69.24
139.60;68.94
137.68;68.55
136.50;68.31
134.57;68.01
133.38;67.83
131.43;67.63
130.23;67.51
128.27;67.41
127.06;67.34
125.10;67.33
123.89;67.33
121.93;67.41
120.71;67.47
118.76;67.65
117.54;67.77
115.60;68.05
114.38;68.22
112.46;68.59
111.25;68.83
109.35;69.30
108.14;69.59
106.27;70.15
105.08;70.51
103.23;71.17
102.05;71.58
100.24;72.32
99.08;72.80
97.31;73.63
96.17;74.16
94.44;75.08
93.32;75.67
91.64;76.67
90.55;77.31
88.92;78.40
87.86;79.10
86.28;80.26
85.25;81.01
83.74;82.25
82.74;83.06
81.29;84.37
80.33;85.23
78.94;86.61
78.03;87.51
76.71;88.96
75.83;89.92
74.59;91.43
73.76;92.43
72.59;94.00
71.81;95.04
70.72;96.66
69.98;97.75
68.97;99.42
68.29;100.55
67.36;102.27
66.74;103.43
65.90;105.19
65.33;106.39
64.57;108.19
64.06;109.42
63.39;111.26
62.94;112.51
62.37;114.38
61.98;115.65
61.49;117.55
61.17;118.85
60.78;120.77
60.51;122.09
60.22;124.02
60.02;125.35
59.82;127.30
59.68;128.65
59.58;130.60
59.51;131.96
59.50;133.92
59.50;135.28
59.59;137.23
59.65;138.60
59.84;140.55
59.97;141.91
60.25;143.85
60.45;145.21
60.82;147.13
61.09;148.48
61.56;150.38
61.89;151.73
62.45;153.60
62.85;154.93
63.51;156.78
63.97;158.09
64.71;159.90
65.25;161.20
66.08;162.97
66.67;164.24
67.59;165.97
68.25;167.21
69.25;168.89
69.98;170.10
71.06;171.73
71.84;172.91
73.00;174.49
73.85;175.63
75.09;177.15
75.99;178.25
77.30;179.70
